publishedAt,authorDisplayName,textDisplay
2023-12-29T12:46:48Z,@andreandre-gv6vp,Saya jga ngga netral saya hanya dukung 🇮🇩🇮🇩🇮🇩🇮🇱🇮🇱🇮🇱🇮🇱😘😘😘😘
2023-12-29T12:36:41Z,@marseltolang4678,"Bagaimana bung DC,apa komentar anda tentang serbuan Hamas ke Israel 7 Oktober lalu ?"
2023-12-29T12:10:52Z,@domicarnie2108,"Coba mas Dedy undang Bambang Nursena, agar anda paham"
2023-12-29T12:04:58Z,@SavariaAleksa,"Assalamualaikum om Deddy😊 , Alhamdulillah terima kasih atas pengetahuan ,penjelasan ,kasih sayang ,you are the best om 🙏🙏 vaira paham atas penjelasan om ,semoga ALLAH slalu memberkahi+sehat slalu + sukses slalu ya ALLAH ya RABB 🙏🙏😊♥️💖💘✨"
2023-12-29T11:57:18Z,@DenzollaAudio,Untunglah indonesia sudah merdeka kalau tdk oten ini pasti semena mena trhadap umat islam.. Agama oten ini sama dgn penjajah belanda..
2023-12-29T11:42:55Z,@mokhamadsupriadi3019,👍👍👍
2023-12-29T10:37:32Z,@nadzeefa14,SIAPA YG SETUJU OM DED UNDANG DONDY TAN
2023-12-29T10:37:07Z,@nadzeefa14,UNDANG DONDY TAN OM DED
2023-12-29T09:51:36Z,@ryanprabowo3326,Asli mereka Asbun
2023-12-29T09:21:52Z,@ahmadhabibi3008,"Intinya orang&quot; yg nyiyir palestina trutama meraka kaum oten, ya sebenarnya mereka memang ada kebencian dengan Islam udh itu aja ko intinya.!"
2023-12-29T09:13:12Z,@zeroseven9666,Masalahnya satu KOMPOR MULUT KOTOR
2023-12-29T07:23:27Z,@user-tf8bj5yq7g,Cri simpatik netizen j lu
2023-12-29T06:41:11Z,@doniwijaya8955,SARAN AJA OM.GIMANA kalo si indah INI QT JAJAH BIAR DIA BISA BEDAIN DIJAJAH ITU ENAK APA GAK OM.😂
2023-12-29T05:32:57Z,@ahmadhudayasulthoni4780,Biasa lah kalo sekolahnya swasta kan pendidikan kewarganegaraan ga di ajarin makanya ga tau UUD
2023-12-29T05:32:40Z,@user-gq8lc5ed4j,"Indah Bocil om kurang piknik, kalo Elia asumsi danpembenaran,ingat Indah G anggaran untuk papua terbesar digelontorkan untuk papua paling besar, dan soal Gaza kebanyakan dunasi ,udah berapa saat ini 26ribu yg mati"
